frame,x,y,visible
0,-1.0,-1.0,0
1,792.0,731.0,1
2,792.0,731.0,0
3,792.0,731.0,0
4,792.0,731.0,0
5,792.0,731.0,0
6,792.0,731.0,0
7,792.0,731.0,0
8,792.0,731.0,0
9,792.0,731.0,0
10,792.0,731.0,0
11,792.0,731.0,0
12,792.0,731.0,0
13,792.0,731.0,0
14,792.0,731.0,0
15,792.0,731.0,0
16,792.0,731.0,0
17,792.0,731.0,0
18,792.0,731.0,0
19,792.0,731.0,0
20,792.0,731.0,0
21,792.0,731.0,0
22,792.0,731.0,0
23,792.0,731.0,0
24,792.0,731.0,0
25,792.0,731.0,0
26,792.0,731.0,0
27,792.0,731.0,0
28,792.0,731.0,0
29,857.999983187698,692.000009934542,1
30,860.3543409669336,690.6087985195393,0
